,Index,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq sent addr.1,ERC20 uniq rec contract addr,ERC20 avg time between sent tnx,ERC20 avg time between rec tnx,ERC20 avg time between rec 2 tnx,ERC20 avg time between contract tnx,ERC20 min val rec,ERC20 max val rec,ERC20 avg val rec,ERC20 min val sent,ERC20 max val sent,ERC20 avg val sent,ERC20 min val sent contract,ERC20 max val sent contract,ERC20 avg val sent contract,ERC20 uniq sent token name,ERC20 uniq rec token name,ERC20 most sent token type,ERC20_most_rec_token_type
2191,2192,0x39312ceb496a23cd748326cb0922b13618d9d332,0,2843.38,701.23,93523.65,25,32,0,28,9,9.537,1459.45,11.653.422,0.0,2228.88,1.901.628,0.0,0.0,0.0,57,4754.07,3.729.095.025,0.0,-1.024.974.975,17.0,1.512.168.889,912.139,0.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.01,8.124.288.889.999.990,252.028.148,1,267.0,82.921.727,0.0,0.0,0.0,1.0,3.0,Gnosis,Gnosis
2192,2193,0x39346183c258d1ba55eb4cd7ed2822dfeffe38f5,0,692.16,6966.26,150220.47,56,16,0,6,15,0.02,20.1,2.979.156,0.0,20.0,8.428.040.000.000.000,0.0,0.0,0.0,72,471.969.999,4.766.649.089,0.0,46.949.099,15.0,18060.84,18060.84,0.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9687.75,2.580.120.001,0.0,9687.75,2.257.605,0.0,0.0,0.0,5.0,6.0,Crypto.com,Crypto.com
2193,2194,0x39349d143b77c902beab5e47ee69b9e8d0f541f8,0,101.46,0.0,304.38,3,1,0,1,2,101.0,101.0,101.0,8.0,8.273.026.999.999.990,3.366.617.100.000.000,0.0,0.0,0.0,4,1.009.985.118,101.0,0.0,1.488.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2194,2195,0x39408b194a6cc6130f48df881df1e3badc155eeb,0,4.2,8367.17,41856.87,5,5,0,5,1,1.0,3.878.555,9.341.723,998.791,3.878.467,9.340.871,0.0,0.0,0.0,10,4.670.435.605,4.670.861.376,0.0,425.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2195,2196,0x394b53dd474e5271d39cf96c16d9e391b2cabf76,0,21.68,0.0,65.03,3,1,0,1,3,101.0,101.0,101.0,1.0,88.182.734,33.666.149,0.0,0.0,0.0,4,100.998.446,101.0,0.0,15.539.999.999.999.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2196,2197,0x395124398960d3d28818950e85051bc90caabef7,0,546.06,0.0,73718.02,135,1,0,1,2,10.026.984,10.026.984,10.026.984,0.0,5.1,420.674,0.0,0.0,0.0,136,56.791,1.002.698.358,0.0,-4.676.401.642,8.0,7.497.929.669,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,365.0,93.724.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,None,XENON
2197,2198,0x39686173a2b1eba4ac6132bbcbf8173475cc591d,0,7.1,0.0,21.3,3,2,0,2,3,504.190.985,1.496.809.015,1000.5,0.5,1.376.531.813,666.999.528,0.0,0.0,0.0,5,2.000.998.585,2001.0,0.0,1.414.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2198,2199,0x397022dfd54de1b78a580bf55c9d4f657fc2e808,0,0.0,475.53,315273.08,0,663,0,1,0,5.603,135.944,100.859,0.0,0.0,0.0,0.0,0.0,0.0,663,0.0,6.686.982.305,0.0,6.686.982.305,14.0,3.004.963.241,0.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,133.627.587,214.640.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,None,XENON
2199,2200,0x39715c6e8cae963359a698ac4abe85bca50fcc35,0,0.0,10442.99,20885.98,0,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,4.0,8.889.006.973,8.889.006.973,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2500.0,6.389.006.973,4.444.503.487,2500.0,6.389.006.973,4.444.503.487,0.0,0.0,0.0,1.0,1.0,BAT,BAT
2200,2201,0x397cde52c4f60f6a958148858ddd2ace64e13f9a,0,230.52,4123.1,912647.1,203,210,0,3,4,17.877,2.494,334.369,16.617,2.493.265,345.122,0.0,0.0,0.0,413,7.005.978.547,7.021.749.861,0.0,15.771.314,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,blockwell.ai KYC Casper Token
2201,2202,0x3988a6cd6b45ac5a315b162f1186f0b4ba549925,0,1043.02,171177.5,517704.57,4,3,0,3,3,29.651,1.4,563.625,149,1.24,418.725,0.0,0.0,0.0,7,1.6749,169.087.397,0.0,1.597.397,5.0,6.700.578.216,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,154.202.005,2.045.702.015,1.340.115.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,Skraps
2202,2203,0x398972bcf938dc34d39f4f323b71f10e169d542c,0,11202.05,17632.22,320290.55,16,8,0,3,11,"1,00E-05",7.288.171,12.255.215,0.0,557.128,6.197.056,0.0,0.0,0.0,24,9.915.289.054,9.804.171.979,0.0,-1.111.170.747,14.0,623.264.661,59999.0,0.0,2.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,59.999.902,623.264.661,0.0,59899.0,14999.75,0.0,0.0,0.0,3.0,9.0,StatusNetwork,TAAS
2203,2204,0x398a5378ef84a5fd1449abc78b4ff5b00f2b0740,0,160.58,0.0,321.17,2,1,0,1,2,101.0,101.0,101.0,9.0,91.998.571,50.499.286,0.0,0.0,0.0,3,1.009.985.715,101.0,0.0,1.428.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2204,2205,0x39a3103a0e7729c5661a050a0bce9c19fe9f0a45,0,164.72,0.0,329.43,2,2,0,2,2,49.757.029,51.242.971,50.5,10.508,100.893.894,50.499.487,0.0,0.0,0.0,4,1.009.989.738,101.0,0.0,1.026.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2205,2206,0x39a4f2fdd53114017869bc537b772f0b93077e00,0,18514.48,35.44,629598.72,34,3,0,2,5,1.0,105.418.602,36.059.534,0.0,34.631.167,3.438.417,0.0,0.0,0.0,37,1.169.061.774,108.178.602,0.0,-8.727.575.427,14.0,4.573.691.905,0.0,0.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.112.674.997,326.692.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,None,BitClave
2206,2207,0x39aa7be3ee44286972adb4285eb166fd25070037,0,107.63,0.0,322.9,3,1,0,1,3,101.0,101.0,101.0,701.939,72.716.328,33.666.179,0.0,0.0,0.0,4,1.009.985.356,101.0,0.0,1.464.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2207,2208,0x39aeed012456d2b3686984093051559fe18274d9,0,10015.17,31639.41,414951.87,13,9,0,2,6,30.397.000.000.000.000,4.814.564,1.583.908,0.0,9.002.001,1.095.243,0.0,0.0,0.0,22,1.423.815.298,1.425.516.985,0.0,1.701.687,34.0,1.656.189.225,"6,49E+08",0.0,2.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.433.395.943,5.520.630.799.999.990,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,KickCoin,KickCoin
2208,2209,0x39b204e21eee68e14ab4f933eafa2ecf7b97741f,0,2.12,0.0,8.47,4,2,0,2,4,636.951.252,1.364.048.748,1000.5,1.078,1.535.803.249,500.249.528,0.0,0.0,0.0,6,2.000.998.113,2001.0,0.0,1.886.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2209,2210,0x39b2b9a528b579e34d50ec16239d8ba7fdf3e69a,0,0.0,1766.28,291436.3,0,165,1,3,0,0.0,1.081.733,87.326,0.0,0.0,0.0,0.0,0.0,0.0,166,0.0,1.440.878.218,0.0,1.440.878.218,3.0,4.097.218.775,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.933.376,13.657.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,None,OmiseGO
2210,2211,0x39b4ea60bf0b966c9fb0146c35a355f2f26ccfe7,0,14.84,0.0,103.88,7,1,0,1,3,101.0,101.0,101.0,206,51.847.507,14.428.067,0.0,0.0,0.0,8,100.996.472,101.0,0.0,35.280.000.000.000.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2211,2212,0x39c2c5f3f8c77cc257ba0302e0b965484ac19984,0,17.13,0.0,51.4,3,1,0,1,3,101.0,101.0,101.0,1.5,67.727.733,33.666.149,0.0,0.0,0.0,4,100.998.446,101.0,0.0,15.539.999.999.999.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2212,2213,0x39c892d8c4ff32107986e949d7cc2c94d3bcd2d3,0,47.23,7324.93,302305.82,42,41,0,3,42,5.014,12.481.503,821.384,909,12.481.053,801.334,0.0,0.0,0.0,83,3.365.602.982,3.367.675.746,0.0,20.727.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2213,2214,0x39cd78b6a3c54c7502714445d15e0e9582bd1bf2,0,3084.25,842.74,134498.93,10,123,0,3,1,45.341,42.780.479,1.235.673,498.568,510.754.292,151.986.265,0.0,0.0,0.0,133,1.519.862.648,1.519.877.818,0.0,1.516.962,4.0,6.285.940.278,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,600.0,157.148.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,None,OmiseGO
2214,2215,0x39cf4ac66bf9d1bda87ccf36a1930eb03506a0e2,0,1976.45,1758.19,59305.53,22,9,0,4,11,4.964,39.873.314,16.038.995,0.0,40.0,6.560.608,0.0,0.0,0.0,31,1.443.333.748,1.443.509.569,0.0,17.582.067,12.0,2.306.330.337,2.306.330.132,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,12.432,198000.0,3.843.883.894,4.0132,198000.0,3.843.883.553,0.0,0.0,0.0,3.0,4.0,EOS,EOS
2215,2216,0x39de32e81fc02a417220329e58e9cc1dcf4b225a,0,0.0,0.0,15.58,1,1,0,1,1,173.792,173.792,173.792,173.287,173.287,173.287,0.0,0.0,0.0,2,17.328.678.399.999.900,17.379.244,0.0,5.056.559.999.999.990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2216,2217,0x39de52507bcd65063023cb9dc2b676ec6da23fac,0,0.0,0.0,52.18,1,1,0,1,1,0.1,0.1,0.1,99.496,99.496,99.496,0.0,0.0,0.0,2,99.496,0.1,0.0,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2217,2218,0x39df7fc8e1d6dc946d1d6ddaae6799eaf06e5255,0,21.36,0.0,64.08,3,1,0,1,3,101.0,101.0,101.0,6.631.000.000.000.000,56.539.361,33.666.149,0.0,0.0,0.0,4,100.998.446,101.0,0.0,15.539.999.999.999.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2218,2219,0x39e2eaf14a80eddbc4b313fbb1f0ad428a10ba91,0,18.53,0.0,55.58,3,1,0,1,3,101.0,101.0,101.0,12.49,6.762.025.200.000.000,33.666.149,0.0,0.0,0.0,4,100.998.446,101.0,0.0,15.539.999.999.999.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2219,2220,0x39efb002eaab02d00e97a3854a146560852bc571,0,40686.65,24242.29,649289.5,10,10,0,2,2,0.73,23.456.261,7.727.419,546,23.455.820.000.000.000,77.269.619.999.999.900,0.0,0.0,0.0,20,7.726.961.629,7.727.419.350.000.000,0.0,4.577.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2220,2221,0x39fa305aa944e8bf3c8680111d19934968d9c88c,0,2818.92,1493.28,543061.65,190,5,0,3,10,0.3,7.630.021.000.000.000,2.129.554,0.0,3.4,97.633,0.0,0.0,0.0,195,1.855.036,1.064.776.966,0.0,-790.259.034,10.0,3.603.653.101,3.600.026.406,0.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,36000.0,7.207.306.202,264.065,17999.0,7.200.052.812.999.990,0.0,0.0,0.0,2.0,5.0,Polymath,XENON
2221,2222,0x39fc4cdaa0e79efe7687822f1c0bacc87e1deede,0,1861.95,3299.78,1084594.63,283,169,0,78,87,0.0,51.988,9.440.878,0.0,100.0,5.951.868,0.0,0.0,0.0,452,1.684.378.706,1.595.508.449,0.0,-8.887.025.642,205.0,115912492.9,115872967.6,0.0,15.0,54.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,29998431.2,8.781.249.459,0.0,30000000.0,1.587.300.926,0.0,0.0,0.0,19.0,62.0,ZRX,Dai Stablecoin v1.0
2222,2223,0x3a02459edd524ae011654350df38166a83f6d9d8,0,0.0,0.0,44.3,1,1,0,1,1,10.001.790.000.000.000,10.001.790.000.000.000,10.001.790.000.000.000,999.675,999.675,999.675,0.0,0.0,0.0,2,999.675.357,1.000.179.357,0.0,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2223,2224,0x3a0356dc70790dc8e4fba51e63d69012cca6a662,0,161.92,0.5,324.83,2,2,0,2,2,4.933.813,5.166.187,50.5,0.75,100.249.016,50.499.508,0.0,0.0,0.0,4,1.009.990.158,101.0,0.0,984.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2224,2225,0x3a03ae47de15019f4ae3ebb0f0a0784dc31b7fab,0,0.0,0.0,110.12,1,1,0,1,1,597.475,597.475,597.475,595.275,595.275,595.275,0.0,0.0,0.0,2,59.527.468,59.747.468,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2225,2226,0x3a0892ab2512b21ceb2fc12c00d0e7e93079a78a,0,0.0,1518.9,94534.6,1,2,0,1,1,995,2.995,1.995,3.989.559,3.989.559,3.989.559,0.0,0.0,0.0,3,3.989.559,3.99,0.0,441,1.0,300.551.928,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,300.552,300.552,300.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,OmiseGO
2226,2227,0x3a101905c2feaa0ddf6b2ce60c3e3a08543c7903,0,0.0,25194.73,226752.53,0,9,1,2,0,0.0,405.0,104.788.889,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,943.1,0.0,943.1,2.0,6.045.195.779.000.000,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.519.578,600.0,302.259.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,OmiseGO
2227,2228,0x3a1b41de1240729a50abbefc214bc387b99b8573,0,202471.56,397.62,666660.12,3,149,0,2,2,111.318,129.185.216,61.402.230.000.000.000,10.815.290.000.000.000,8.973.050.529.999.990,304.963.244,0.0,0.0,0.0,152,914.889.732,9.148.932.395,0.0,35.075,9.0,938.995.915,0.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,849.340.264,104.332.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,None,XENON
2228,2229,0x3a2b5d91f00d15f24f98b2e782737829355672a4,0,33.44,0.0,100.33,3,1,0,1,3,101.0,101.0,101.0,8.658.009,82.907.585,33.666.163,0.0,0.0,0.0,4,100.998.488,101.0,0.0,1.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2229,2230,0x3a2de91055cc0dfc42454b1cd3dc161cc2c2de90,0,160.61,0.63,322.48,2,2,0,2,2,13.480.099,87.519.901,50.5,0.6,100.399.016,50.499.508,0.0,0.0,0.0,4,1.009.990.158,101.0,0.0,984.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2230,2231,0x3a396b0a3b113710bd66692edca85c6cc09733bb,0,3.27,0.52,10.85,3,2,0,2,3,381.042.718,1.619.957.282,1000.5,495,1.574.120.926,666.999.528,0.0,0.0,0.0,5,2.000.998.585,2001.0,0.0,1.414.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2231,2232,0x3a3e66d85f4f55d3ce27afa812bc480e74f6b0d6,0,2029.44,2772.94,1093058.47,100,321,0,89,63,123,5.0,139.158,0.0,2.630.942,4.426.560.000.000.000,0.0,0.0,0.0,421,4.426.562.915,4.466.959.806,0.0,403.968.907,121.0,6.681.001.019,7.780.699.708,0.0,30.0,44.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,19331.0,734.175.936,0.0,2000.0,259.356.657,0.0,0.0,0.0,8.0,41.0,Golem,EOS
2232,2233,0x3a4096968c4d344deb8ac3a123e0632872387850,0,46332.51,39450.96,514700.83,6,6,0,1,6,1.516.486,8.875.361.999.999.990,3.706.397,2.329,8.874.921,3.705.956,0.0,0.0,0.0,12,2.223.573.801,2.223.838.401,0.0,2.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2233,2234,0x3a4376e28f0c3a445ec6322ecb4e3237677a7624,0,0.0,0.0,2.35,1,1,0,1,1,2.325.925,2.325.925,2.325.925,2.325.139,2.325.139,2.325.139,0.0,0.0,0.0,2,232.513.936,232.592.542,0.0,78.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2234,2235,0x3a5c1044247fa8f4215537016985bb6eb6e0b77e,0,0.0,1971.81,226758.45,0,115,1,4,0,0.0,2.9894,23.263.000.000.000.000,0.0,0.0,0.0,0.0,0.0,0.0,116,0.0,2.675.245.414,0.0,2.675.245.414,2.0,12.869.239.140.000.000,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.862.149.999.999.990,700.709,643.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,DATAcoin
2235,2236,0x3a5c819973eb3f40ee88031cb888a8d5ac792d8c,0,1084.37,2309.6,349998.67,261,29,0,13,8,28.149,247.393,13.185.999.999.999.900,0.0,227.055,12.686,0.0,0.0,0.0,290,3.311.055.199,382.393.082,0.0,5.128.756.210.000.000,23.0,616.953.316,54.353.528,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,54.353.528,30.847.666,0.0,54.053.528,181.178.427,0.0,0.0,0.0,2.0,6.0,SONM,Monaco
2236,2237,0x3a5d6df61ec0a90e2cad7af1fe3311cf1b8dc4da,0,0.0,15.63,156255.3,0,9999,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,1.0,"3,00E-18",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,
2237,2238,0x3a69942b7eba7e9b527b5613356820fb90da7a0c,0,5.16,34918.47,174618.15,5,5,0,4,1,13.175.599.999.999.900,1.400.383,3.723.225,128.503,14.002.762,3.721.302,0.0,0.0,0.0,10,1.860.651.017,1.861.612.389,0.0,9.613.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2238,2239,0x3a6cdc355295e3f34bceb90dcd99a2b657cbd719,0,41816.88,58905.01,982490.15,8,11,0,4,6,0.01,10.5613,3.751.482,0.01,7.0,2.0325,0.0,0.0,0.0,19,16.26,412.663,0.0,250.063,10.0,122.476.744,0.0,0.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.111.136.127,122.476.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,None,Golem
2239,2240,0x3a6d4b0db8fe5f8fc29f1ed74f9a921550d02bbc,0,42862.41,8542.04,316968.72,6,7,0,6,5,198.485,9.068.317,2.386.581,0.0,9.068,3.083.288,0.0,0.0,0.0,13,1.849.972.531,1.670.606.522,0.0,-1.793.660.082,11.0,10.796.896.869.999.900,24.761.252.510.000.000,0.0,1.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,227.545,404.340.134,107.968.969,247.612.525,247.612.525,247.612.525,0.0,0.0,0.0,1.0,8.0,Golem,EOS
2240,2241,0x3a76d9d3250fcabf300a7f0f0cf430e55e49c8ed,0,17521.42,2173.56,260511.67,14,7,0,4,9,146.236,12.783.793,44.351.650.000.000.000,0.0,12.0,2.439.164,0.0,0.0,0.0,21,3.414.830.005,3.104.615.308,0.0,-3.102.146.976,15.0,1.404.286.441,1.200.000.002,0.0,3.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1200.0,11.702.387,0.0,1200.0,400.000.001,0.0,0.0,0.0,3.0,10.0,DCORP,Patientory
2241,2242,0x3a78fb1a553a205559f346fee76cb6638ac65e67,0,21.0,0.0,63.0,3,1,0,1,3,101.0,101.0,101.0,5,56.575.777,33.666.149,0.0,0.0,0.0,4,100.998.446,101.0,0.0,15.539.999.999.999.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2242,2243,0x3a82ecee4f915ffc0a8a221e3c0cb1db403a3113,0,26855.44,35030.82,988992.73,29,6,0,4,15,0.0,640.0,125.333.333,0.0,50.0,5.206,0.0,0.0,0.0,35,15.097.398.859.999.900,752.0,0.0,6.010.260.114,58.0,9.561.207.271,8.436.599.624,0.0,6.0,31.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,300000.0,2.223.536.575,3.8343,300000.0,5.624.399.749,0.0,0.0,0.0,8.0,37.0,EOS,EOS
2243,2244,0x3a8693cb8f3f075126b5ecf8f017d3de0ee398ab,0,165.65,0.0,331.3,2,1,0,1,2,101.0,101.0,101.0,419.366,10.099.736,50.708.363,0.0,0.0,0.0,3,1.014.167.258,101.0,0.0,-416.725.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2244,2245,0x3a8bf4eeec2cea351397e0ed2650d6a791f0cf43,0,164.28,0.0,328.57,2,1,0,1,2,101.0,101.0,101.0,0.02,100.979.016,50.499.508,0.0,0.0,0.0,3,1.009.990.158,101.0,0.0,984.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2245,2246,0x3a8c5138f277a055fb23e17a716cc42e1eb78fd8,0,12214.73,8097.85,675111.67,44,17,0,10,21,472,13.4,3.661.339,0.0,10.0,1.787.057,0.0,0.0,0.0,61,7.863.051.072,6.224.276.991,0.0,-1.638.774.081,29.0,7.765.338.476,8.248.537.400.000.000,0.0,7.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,33565.0,4.567.846.162,0.0,40000.0,6.873.781.167,0.0,0.0,0.0,7.0,8.0,Tronix,Request
2246,2247,0x3a8d2fd15005f49c94e78fd545f4584d2a00fe12,0,0.0,0.0,53.37,1,1,0,1,1,23.944.569,23.944.569,23.944.569,23.944.065,23.944.065,23.944.065,0.0,0.0,0.0,2,23.944.065,23.944.569,0.0,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2247,2248,0x3a95b41caf1a1eec816a4044c0cd9015a7383ddb,0,22.48,0.0,67.45,3,1,0,1,3,101.0,101.0,101.0,266.425,71.896.437,33.666.149,0.0,0.0,0.0,4,100.998.446,101.0,0.0,15.539.999.999.999.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
